RespondentID,AdoptionReadiness,AdoptionReadiness_z,FinDiscipline_Index,FinDiscipline_Index_z,IncomeMidpoint_INR,IncomeMidpoint_INR_z,NumAppsUsed,NumAppsUsed_z,NumCreditInstruments,NumCreditInstruments_z,NumFeaturesWanted,NumFeaturesWanted_z,PainPoint_Index,PainPoint_Index_z,Q10_TrackFreq,Q10_TrackFreq_Code,Q11_BNPL_EMI,Q11_CreditCard,Q11_EducationLoan,Q11_None,Q11_PersonalLoan,Q12_NumGoals,Q12_NumGoals_z,Q13_Anxiety,Q14_DiffSaving,Q15_LowConfidence,Q16_AppsComplex,Q17_WantsGuidance,Q18_SelfLiteracy,Q19_AICoach,Q19_AutoBudget,Q19_BillReminders,Q19_CreditScore,Q19_ExpenseSplit,Q19_GoalSavings,Q19_LiteracyContent,Q19_MicroInvest,Q19_Rewards,Q1_Age,Q1_Age_Outlier,Q1_Age_z,Q20_GuidanceStyle,Q20_GuidanceStyle_Fully automated / AI-driven,Q20_GuidanceStyle_Human advisor on demand,Q20_GuidanceStyle_Self-directed tools only,Q21_DecisionFactor,Q21_DecisionFactor_Brand reputation & trust,Q21_DecisionFactor_Data security & privacy,Q21_DecisionFactor_Ease of use,Q21_DecisionFactor_Low cost / affordability,Q21_DecisionFactor_Returns / performance,Q22_WTP_INR,Q22_WTP_INR_Outlier,Q22_WTP_INR_z,Q23_PricingModel,Q23_PricingModel_Annual subscription (discounted),Q23_PricingModel_Free with ads,Q23_PricingModel_Freemium (free core + paid upgrades),Q23_PricingModel_Monthly subscription,Q24_TrialLikelihood,Q25_Subscribe,Q25_Subscribe_Code,Q2_Gender,Q2_Gender_Female,Q2_Gender_Male,Q2_Gender_Non-binary / other,Q2_Gender_Prefer not to say,Q3_CityTier,Q3_CityTier_Code,Q4_Education,Q4_Education_Code,Q5_Employment,Q5_Employment_Currently not working,Q5_Employment_Gig worker / freelancer,Q5_Employment_Salaried — government / public sector,Q5_Employment_Salaried — private sector,Q5_Employment_Self-employed / business owner,Q5_Employment_Student,Q6_IncomeBand,Q6_IncomeBand_Code,Q7_SavingsRate,Q7_SavingsRate_Code,Q8_BudgetMethod,Q8_BudgetMethod_Code,Q9_BNPL,Q9_BudgetApp,Q9_CreditCard,Q9_MF_Stock,Q9_None,Q9_UPI,Subscribe_Binary,WTP_Positive
13,2.67,0.2235,3.17,1.2757,42500,0.6161,2,-0.2526,0,-1.2566,4,0.6828,2.33,-0.7651,Monthly,2,0,0,0,1,0,1,-0.4327,2,2,2,3,3,5,1,0,0,0,0,1,0,1,1,29.0,0,0.5084,Self-directed tools only,0,0,1,Returns / performance,0,0,0,0,1,110.0,0,0.8293,Monthly subscription,0,0,0,1,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Master's degree or higher,3,Salaried — government / public sector,0,0,1,0,0,0,"₹35,000 – ₹49,999",2,More than 30%,4,Mentally / rough estimates,1,0,0,0,1,0,1,0,1
14,2.33,-0.3017,3.17,1.2757,65000,1.8045,3,0.6659,2,1.0922,4,0.6828,3.33,0.3625,Weekly,3,0,1,0,0,1,2,0.347,4,3,2,3,4,5,0,0,1,1,0,1,0,1,0,28.0,0,0.3238,Fully automated / AI-driven,1,0,0,Returns / performance,0,0,0,0,1,0.0,0,-0.7739,Free with ads,0,1,0,0,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Bachelor's degree,2,Gig worker / freelancer,0,1,0,0,0,0,"₹50,000 – ₹79,999",3,21% – 30%,3,Mentally / rough estimates,1,0,0,1,1,0,1,0,0
15,2.33,-0.3017,3.67,1.7925,42500,0.6161,3,0.6659,2,1.0922,4,0.6828,3.67,0.7459,Daily,4,1,0,0,0,1,4,1.9063,5,3,2,3,3,5,0,0,1,0,0,1,0,1,1,23.0,0,-0.5991,Self-directed tools only,0,0,1,Low cost / affordability,0,0,0,1,0,0.0,0,-0.7739,Free with ads,0,1,0,0,4,Maybe,1,Male,0,1,0,0,Tier 1,2,Master's degree or higher,3,Salaried — private sector,0,0,0,1,0,0,"₹35,000 – ₹49,999",2,11% – 20%,2,A dedicated budgeting / finance app,4,0,1,0,1,0,1,0,0
16,3.0,0.7332,2.17,0.2422,42500,0.6161,3,0.6659,2,1.0922,3,-0.4765,3.0,-0.0096,Rarely,1,1,1,0,0,0,2,0.347,3,3,2,3,3,4,1,0,0,0,0,1,0,0,1,30.0,0,0.693,Human advisor on demand,0,1,0,Ease of use,0,0,1,0,0,120.0,0,0.975,Monthly subscription,0,0,0,1,4,Yes,2,Male,0,1,0,0,Tier 1,2,Diploma,1,Self-employed / business owner,0,0,0,0,1,0,"₹35,000 – ₹49,999",2,1% – 10%,1,Notes app or spreadsheet,2,1,0,1,1,0,0,1,1
17,3.67,1.7681,2.33,0.4076,15000,-0.8364,3,0.6659,1,-0.0822,4,0.6828,3.67,0.7459,Monthly,2,1,0,0,0,0,2,0.347,4,4,2,3,4,4,1,0,1,0,0,0,1,1,0,25.0,0,-0.2299,Human advisor on demand,0,1,0,Low cost / affordability,0,0,0,1,0,120.0,0,0.975,Freemium (free core + paid upgrades),0,0,1,0,5,Yes,2,Male,0,1,0,0,Tier 1,2,High school or below,0,Salaried — private sector,0,0,0,1,0,0,"Less than ₹20,000",0,1% – 10%,1,Notes app or spreadsheet,2,1,1,0,0,0,1,1,1
18,3.0,0.7332,0.83,-1.1426,27500,-0.1761,1,-1.1711,1,-0.0822,2,-1.6358,3.33,0.3625,Rarely,1,0,0,0,0,1,1,-0.4327,3,3,3,4,3,2,0,0,0,0,1,0,0,0,1,22.0,0,-0.7836,Fully automated / AI-driven,1,0,0,Low cost / affordability,0,0,0,1,0,80.0,0,0.392,Freemium (free core + paid upgrades),0,0,1,0,4,No,0,Female,1,0,0,0,Tier 3,0,High school or below,0,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,1% – 10%,1,I don't track it at all,0,1,0,0,0,0,0,0,1
19,2.67,0.2235,4.0,2.1335,100000,3.6531,4,1.5844,1,-0.0822,4,0.6828,1.67,-1.5094,Daily,4,0,1,0,0,0,5,2.686,1,1,1,3,1,5,0,0,0,1,0,1,0,1,1,39.5,1,2.4465,Self-directed tools only,0,0,1,Low cost / affordability,0,0,0,1,0,275.0,1,3.2339,Monthly subscription,0,0,0,1,5,Yes,2,Female,1,0,0,0,Tier 1,2,Master's degree or higher,3,Salaried — private sector,0,0,0,1,0,0,"₹80,000 or more",4,More than 30%,4,A dedicated budgeting / finance app,4,0,1,1,1,0,1,1,1
20,2.33,-0.3017,3.33,1.4411,27500,-0.1761,2,-0.2526,0,-1.2566,4,0.6828,2.33,-0.7651,Daily,4,0,0,0,1,0,0,-1.2124,3,2,2,2,4,4,0,1,0,0,1,1,0,0,1,21.0,0,-0.9682,Fully automated / AI-driven,1,0,0,Data security & privacy,0,1,0,0,0,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,3,No,0,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,21% – 30%,3,A dedicated budgeting / finance app,4,0,1,0,0,0,1,0,0
21,3.0,0.7332,1.0,-0.9669,42500,0.6161,2,-0.2526,2,1.0922,4,0.6828,3.67,0.7459,Weekly,3,1,1,0,0,0,0,-1.2124,4,3,4,4,4,1,0,1,1,0,0,0,1,0,1,23.0,0,-0.5991,Fully automated / AI-driven,1,0,0,Returns / performance,0,0,0,0,1,100.0,0,0.6835,Annual subscription (discounted),1,0,0,0,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹35,000 – ₹49,999",2,11% – 20%,2,Mentally / rough estimates,1,0,0,1,0,0,1,0,1
22,2.0,-0.8115,3.5,1.6168,27500,-0.1761,2,-0.2526,0,-1.2566,4,0.6828,2.33,-0.7651,Weekly,3,0,0,0,1,0,1,-0.4327,4,1,1,2,4,5,1,0,0,1,0,1,0,0,1,27.0,0,0.1393,Self-directed tools only,0,0,1,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,2,No,0,Female,1,0,0,0,Tier 1,2,High school or below,0,Salaried — government / public sector,0,0,1,0,0,0,"₹20,000 – ₹34,999",1,More than 30%,4,Notes app or spreadsheet,2,0,1,0,0,0,1,0,0
23,2.67,0.2235,2.17,0.2422,42500,0.6161,1,-1.1711,0,-1.2566,4,0.6828,4.0,1.118,Monthly,2,0,0,0,1,0,0,-1.2124,4,4,3,4,4,4,1,1,1,0,0,0,0,0,1,32.0,0,1.0622,Fully automated / AI-driven,1,0,0,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,4,Yes,2,Female,1,0,0,0,Tier 1,2,Master's degree or higher,3,Salaried — private sector,0,0,0,1,0,0,"₹35,000 – ₹49,999",2,1% – 10%,1,Mentally / rough estimates,1,0,0,0,0,0,1,1,0
24,2.33,-0.3017,1.67,-0.2745,27500,-0.1761,1,-1.1711,0,-1.2566,4,0.6828,3.33,0.3625,Rarely,1,0,0,0,1,0,3,1.1266,4,3,1,3,4,3,0,1,0,0,0,1,0,1,1,30.0,0,0.693,Self-directed tools only,0,0,1,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Diploma,1,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,11% – 20%,2,Mentally / rough estimates,1,0,0,0,1,0,0,0,0
25,3.0,0.7332,2.33,0.4076,27500,-0.1761,3,0.6659,1,-0.0822,3,-0.4765,2.67,-0.3817,Weekly,3,0,0,0,0,1,2,0.347,3,3,3,2,4,3,0,1,1,0,0,1,0,0,0,28.0,0,0.3238,Human advisor on demand,0,1,0,Data security & privacy,0,1,0,0,0,150.0,0,1.4122,Monthly subscription,0,0,0,1,3,Yes,2,Male,0,1,0,0,Tier 2,1,Master's degree or higher,3,Gig worker / freelancer,0,1,0,0,0,0,"₹20,000 – ₹34,999",1,11% – 20%,2,My bank's mobile app,3,1,1,0,0,0,1,1,1
26,3.0,0.7332,3.33,1.4411,27500,-0.1761,2,-0.2526,1,-0.0822,4,0.6828,2.33,-0.7651,Monthly,2,0,1,0,0,0,2,0.347,3,2,2,2,4,5,1,0,1,0,0,1,0,1,0,20.0,0,-1.1528,Self-directed tools only,0,0,1,Brand reputation & trust,1,0,0,0,0,140.0,0,1.2665,Annual subscription (discounted),1,0,0,0,3,Yes,2,Male,0,1,0,0,Tier 2,1,Master's degree or higher,3,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,21% – 30%,3,My bank's mobile app,3,0,0,1,0,0,1,1,1
27,2.0,-0.8115,1.5,-0.4502,42500,0.6161,2,-0.2526,1,-0.0822,4,0.6828,2.0,-1.1373,Rarely,1,0,0,0,0,1,3,1.1266,1,2,3,3,4,2,0,1,0,1,0,0,1,0,1,24.0,0,-0.4145,Fully automated / AI-driven,1,0,0,Low cost / affordability,0,0,0,1,0,0.0,0,-0.7739,Free with ads,0,1,0,0,2,Maybe,1,Female,1,0,0,0,Tier 2,1,Bachelor's degree,2,Self-employed / business owner,0,0,0,0,1,0,"₹35,000 – ₹49,999",2,More than 30%,4,Mentally / rough estimates,1,0,0,0,1,0,1,0,0
28,3.0,0.7332,1.83,-0.1091,15000,-0.8364,2,-0.2526,2,1.0922,4,0.6828,4.33,1.4901,Daily,4,1,0,0,0,1,2,0.347,5,5,3,3,5,3,0,1,1,1,0,0,1,0,0,21.0,0,-0.9682,Human advisor on demand,0,1,0,Brand reputation & trust,1,0,0,0,0,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,4,Yes,2,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Student,0,0,0,0,0,1,"Less than ₹20,000",0,1% – 10%,1,I don't track it at all,0,1,0,0,0,0,1,1,0
29,2.67,0.2235,1.17,-0.7912,15000,-0.8364,3,0.6659,1,-0.0822,4,0.6828,3.67,0.7459,Monthly,2,1,0,0,0,0,0,-1.2124,3,4,5,4,4,2,1,1,1,0,0,0,1,0,0,22.0,0,-0.7836,Fully automated / AI-driven,1,0,0,Brand reputation & trust,1,0,0,0,0,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,4,Yes,2,Male,0,1,0,0,Tier 1,2,Diploma,1,Salaried — government / public sector,0,0,1,0,0,0,"Less than ₹20,000",0,1% – 10%,1,Mentally / rough estimates,1,1,0,0,1,0,1,1,0
30,2.0,-0.8115,1.83,-0.1091,15000,-0.8364,3,0.6659,1,-0.0822,2,-1.6358,3.67,0.7459,Rarely,1,0,1,0,0,0,1,-0.4327,4,4,2,3,3,4,0,0,0,1,0,0,0,1,0,18.0,0,-1.522,Fully automated / AI-driven,1,0,0,Low cost / affordability,0,0,0,1,0,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,3,Maybe,1,Male,0,1,0,0,Tier 1,2,High school or below,0,Student,0,0,0,0,0,1,"Less than ₹20,000",0,0% (I do not save),0,Mentally / rough estimates,1,1,0,1,0,0,1,0,0
31,3.33,1.2429,2.33,0.4076,15000,-0.8364,2,-0.2526,1,-0.0822,3,-0.4765,2.33,-0.7651,Weekly,3,0,1,0,0,0,1,-0.4327,2,2,3,3,4,3,0,0,0,1,0,0,1,1,0,27.0,0,0.1393,Human advisor on demand,0,1,0,Returns / performance,0,0,0,0,1,130.0,0,1.1207,Freemium (free core + paid upgrades),0,0,1,0,4,Maybe,1,Male,0,1,0,0,Tier 2,1,Diploma,1,Salaried — private sector,0,0,0,1,0,0,"Less than ₹20,000",0,11% – 20%,2,My bank's mobile app,3,0,0,1,0,0,1,0,1
32,3.33,1.2429,2.83,0.9243,27500,-0.1761,4,1.5844,3,2.2665,4,0.6828,3.0,-0.0096,Rarely,1,1,1,0,0,1,4,1.9063,3,3,3,3,4,5,1,0,1,1,1,0,0,0,0,30.0,0,0.693,Human advisor on demand,0,1,0,Brand reputation & trust,1,0,0,0,0,150.0,0,1.4122,Monthly subscription,0,0,0,1,4,Yes,2,Male,0,1,0,0,Tier 1,2,Diploma,1,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,21% – 30%,3,Mentally / rough estimates,1,0,1,1,1,0,1,1,1
33,2.67,0.2235,0.17,-1.8247,15000,-0.8364,1,-1.1711,1,-0.0822,4,0.6828,3.33,0.3625,Never,0,0,0,1,0,0,3,1.1266,3,3,5,4,5,1,1,0,0,0,0,1,1,0,1,24.0,0,-0.4145,Human advisor on demand,0,1,0,Data security & privacy,0,1,0,0,0,30.0,0,-0.3367,Monthly subscription,0,0,0,1,1,No,0,Female,1,0,0,0,Tier 1,2,High school or below,0,Self-employed / business owner,0,0,0,0,1,0,"Less than ₹20,000",0,1% – 10%,1,I don't track it at all,0,0,0,0,0,0,1,0,1
34,3.0,0.7332,3.0,1.1,65000,1.8045,3,0.6659,0,-1.2566,4,0.6828,3.0,-0.0096,Daily,4,0,0,0,1,0,5,2.686,3,3,2,3,3,4,1,0,1,0,0,1,0,0,1,32.0,0,1.0622,Self-directed tools only,0,0,1,Ease of use,0,0,1,0,0,180.0,0,1.8494,Monthly subscription,0,0,0,1,4,Yes,2,Male,0,1,0,0,Tier 3,0,Master's degree or higher,3,Self-employed / business owner,0,0,0,0,1,0,"₹50,000 – ₹79,999",3,11% – 20%,2,My bank's mobile app,3,0,1,0,1,0,1,1,1
35,2.0,-0.8115,1.83,-0.1091,15000,-0.8364,4,1.5844,2,1.0922,4,0.6828,4.67,1.8735,Daily,4,1,0,0,0,1,1,-0.4327,5,5,3,4,5,2,1,1,1,0,0,0,0,0,1,18.0,0,-1.522,Human advisor on demand,0,1,0,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,1,No,0,Male,0,1,0,0,Tier 3,0,Bachelor's degree,2,Student,0,0,0,0,0,1,"Less than ₹20,000",0,0% (I do not save),0,A dedicated budgeting / finance app,4,1,1,0,1,0,1,0,0
36,2.0,-0.8115,2.33,0.4076,27500,-0.1761,2,-0.2526,0,-1.2566,3,-0.4765,4.0,1.118,Weekly,3,0,0,0,1,0,1,-0.4327,5,4,2,3,5,3,1,1,0,0,0,0,0,1,0,22.0,0,-0.7836,Human advisor on demand,0,1,0,Low cost / affordability,0,0,0,1,0,0.0,0,-0.7739,Free with ads,0,1,0,0,1,No,0,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,11% – 20%,2,My bank's mobile app,3,0,1,0,0,0,1,0,0
37,2.67,0.2235,2.5,0.5833,15000,-0.8364,3,0.6659,2,1.0922,4,0.6828,3.33,0.3625,Weekly,3,1,0,0,0,1,1,-0.4327,4,4,2,2,4,4,0,1,1,0,0,0,0,1,1,24.0,0,-0.4145,Fully automated / AI-driven,1,0,0,Returns / performance,0,0,0,0,1,0.0,0,-0.7739,Freemium (free core + paid upgrades),0,0,1,0,4,Yes,2,Female,1,0,0,0,Tier 1,2,Bachelor's degree,2,Student,0,0,0,0,0,1,"Less than ₹20,000",0,0% (I do not save),0,My bank's mobile app,3,1,1,0,0,0,1,1,0
38,2.0,-0.8115,2.0,0.0666,27500,-0.1761,1,-1.1711,1,-0.0822,3,-0.4765,2.0,-1.1373,Monthly,2,0,0,1,0,0,0,-1.2124,2,2,4,2,3,3,1,0,1,0,0,0,1,0,0,24.0,0,-0.4145,Fully automated / AI-driven,1,0,0,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,3,Maybe,1,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,11% – 20%,2,Notes app or spreadsheet,2,0,0,0,0,0,1,0,0
