RespondentID,Cluster,Persona
80,0,Financially Stressed Beginners
81,1,Premium-Ready Professionals
82,1,Premium-Ready Professionals
83,2,Smart Savers
84,2,Smart Savers
85,0,Financially Stressed Beginners
86,2,Smart Savers
87,0,Financially Stressed Beginners
88,2,Smart Savers
89,2,Smart Savers
90,0,Financially Stressed Beginners
91,2,Smart Savers
92,1,Premium-Ready Professionals
93,0,Financially Stressed Beginners
94,1,Premium-Ready Professionals
95,2,Smart Savers
96,2,Smart Savers
97,0,Financially Stressed Beginners
98,0,Financially Stressed Beginners
99,1,Premium-Ready Professionals
100,0,Financially Stressed Beginners
101,1,Premium-Ready Professionals
102,0,Financially Stressed Beginners
103,0,Financially Stressed Beginners
104,1,Premium-Ready Professionals
105,1,Premium-Ready Professionals
106,0,Financially Stressed Beginners
107,2,Smart Savers
108,0,Financially Stressed Beginners
109,1,Premium-Ready Professionals
110,2,Smart Savers
111,0,Financially Stressed Beginners
112,1,Premium-Ready Professionals
113,1,Premium-Ready Professionals
114,1,Premium-Ready Professionals
115,1,Premium-Ready Professionals
116,0,Financially Stressed Beginners
117,2,Smart Savers
118,1,Premium-Ready Professionals
119,0,Financially Stressed Beginners
120,1,Premium-Ready Professionals
121,1,Premium-Ready Professionals
122,1,Premium-Ready Professionals
123,2,Smart Savers
124,0,Financially Stressed Beginners
125,0,Financially Stressed Beginners
126,1,Premium-Ready Professionals
127,1,Premium-Ready Professionals
128,1,Premium-Ready Professionals
129,1,Premium-Ready Professionals
130,1,Premium-Ready Professionals
131,1,Premium-Ready Professionals
132,2,Smart Savers
133,1,Premium-Ready Professionals
134,0,Financially Stressed Beginners
135,2,Smart Savers
136,1,Premium-Ready Professionals
137,2,Smart Savers
138,1,Premium-Ready Professionals
139,0,Financially Stressed Beginners
140,1,Premium-Ready Professionals
141,2,Smart Savers
142,2,Smart Savers
143,0,Financially Stressed Beginners
144,0,Financially Stressed Beginners
145,0,Financially Stressed Beginners
146,0,Financially Stressed Beginners
147,2,Smart Savers
148,2,Smart Savers
149,1,Premium-Ready Professionals
150,0,Financially Stressed Beginners
151,1,Premium-Ready Professionals
152,0,Financially Stressed Beginners
153,2,Smart Savers
154,0,Financially Stressed Beginners
155,2,Smart Savers
156,0,Financially Stressed Beginners
157,0,Financially Stressed Beginners
158,1,Premium-Ready Professionals
159,2,Smart Savers
160,0,Financially Stressed Beginners
161,1,Premium-Ready Professionals
162,0,Financially Stressed Beginners
163,1,Premium-Ready Professionals
164,0,Financially Stressed Beginners
165,0,Financially Stressed Beginners
166,2,Smart Savers
167,1,Premium-Ready Professionals
168,0,Financially Stressed Beginners
169,2,Smart Savers
170,0,Financially Stressed Beginners
171,0,Financially Stressed Beginners
172,1,Premium-Ready Professionals
173,2,Smart Savers
174,0,Financially Stressed Beginners
175,0,Financially Stressed Beginners
176,0,Financially Stressed Beginners
177,1,Premium-Ready Professionals
178,1,Premium-Ready Professionals
179,2,Smart Savers
180,0,Financially Stressed Beginners
181,0,Financially Stressed Beginners
182,0,Financially Stressed Beginners
183,2,Smart Savers
184,1,Premium-Ready Professionals
185,2,Smart Savers
186,2,Smart Savers
187,2,Smart Savers
188,2,Smart Savers
189,1,Premium-Ready Professionals
190,1,Premium-Ready Professionals
191,0,Financially Stressed Beginners
192,0,Financially Stressed Beginners
193,2,Smart Savers
194,0,Financially Stressed Beginners
195,1,Premium-Ready Professionals
196,2,Smart Savers
197,0,Financially Stressed Beginners
198,0,Financially Stressed Beginners
199,0,Financially Stressed Beginners
200,2,Smart Savers
201,2,Smart Savers
202,1,Premium-Ready Professionals
203,2,Smart Savers
204,2,Smart Savers
205,2,Smart Savers
206,1,Premium-Ready Professionals
207,2,Smart Savers
208,0,Financially Stressed Beginners
209,0,Financially Stressed Beginners
210,0,Financially Stressed Beginners
211,0,Financially Stressed Beginners
212,0,Financially Stressed Beginners
213,2,Smart Savers
214,2,Smart Savers
215,2,Smart Savers
216,2,Smart Savers
217,0,Financially Stressed Beginners
218,1,Premium-Ready Professionals
219,0,Financially Stressed Beginners
220,0,Financially Stressed Beginners
221,2,Smart Savers
222,2,Smart Savers
223,0,Financially Stressed Beginners
224,0,Financially Stressed Beginners
225,0,Financially Stressed Beginners
226,0,Financially Stressed Beginners
227,1,Premium-Ready Professionals
228,2,Smart Savers
229,0,Financially Stressed Beginners
230,1,Premium-Ready Professionals
231,1,Premium-Ready Professionals
232,0,Financially Stressed Beginners
233,2,Smart Savers
234,0,Financially Stressed Beginners
235,1,Premium-Ready Professionals
236,0,Financially Stressed Beginners
237,1,Premium-Ready Professionals
238,0,Financially Stressed Beginners
239,1,Premium-Ready Professionals
240,0,Financially Stressed Beginners
241,2,Smart Savers
242,2,Smart Savers
243,2,Smart Savers
244,0,Financially Stressed Beginners
245,2,Smart Savers
246,0,Financially Stressed Beginners
247,0,Financially Stressed Beginners
248,1,Premium-Ready Professionals
249,0,Financially Stressed Beginners
250,2,Smart Savers
251,0,Financially Stressed Beginners
252,0,Financially Stressed Beginners
253,1,Premium-Ready Professionals
254,1,Premium-Ready Professionals
255,2,Smart Savers
256,1,Premium-Ready Professionals
257,0,Financially Stressed Beginners
258,0,Financially Stressed Beginners
259,0,Financially Stressed Beginners
260,2,Smart Savers
261,2,Smart Savers
262,0,Financially Stressed Beginners
263,2,Smart Savers
264,2,Smart Savers
265,2,Smart Savers
266,1,Premium-Ready Professionals
267,2,Smart Savers
268,0,Financially Stressed Beginners
269,0,Financially Stressed Beginners
270,0,Financially Stressed Beginners
271,0,Financially Stressed Beginners
272,1,Premium-Ready Professionals
273,0,Financially Stressed Beginners
274,0,Financially Stressed Beginners
275,0,Financially Stressed Beginners
276,0,Financially Stressed Beginners
277,1,Premium-Ready Professionals
278,0,Financially Stressed Beginners
279,1,Premium-Ready Professionals
280,0,Financially Stressed Beginners
281,0,Financially Stressed Beginners
282,0,Financially Stressed Beginners
283,2,Smart Savers
284,1,Premium-Ready Professionals
285,1,Premium-Ready Professionals
286,0,Financially Stressed Beginners
287,0,Financially Stressed Beginners
288,2,Smart Savers
289,0,Financially Stressed Beginners
290,1,Premium-Ready Professionals
291,1,Premium-Ready Professionals
292,1,Premium-Ready Professionals
293,1,Premium-Ready Professionals
294,0,Financially Stressed Beginners
295,1,Premium-Ready Professionals
296,2,Smart Savers
297,1,Premium-Ready Professionals
298,0,Financially Stressed Beginners
299,0,Financially Stressed Beginners
300,2,Smart Savers
301,2,Smart Savers
302,0,Financially Stressed Beginners
303,0,Financially Stressed Beginners
304,0,Financially Stressed Beginners
305,0,Financially Stressed Beginners
306,0,Financially Stressed Beginners
307,1,Premium-Ready Professionals
308,2,Smart Savers
309,1,Premium-Ready Professionals
310,2,Smart Savers
311,0,Financially Stressed Beginners
312,2,Smart Savers
313,1,Premium-Ready Professionals
314,1,Premium-Ready Professionals
315,2,Smart Savers
316,1,Premium-Ready Professionals
317,2,Smart Savers
318,0,Financially Stressed Beginners
319,0,Financially Stressed Beginners
320,0,Financially Stressed Beginners
321,2,Smart Savers
322,1,Premium-Ready Professionals
323,0,Financially Stressed Beginners
324,0,Financially Stressed Beginners
325,2,Smart Savers
326,2,Smart Savers
327,0,Financially Stressed Beginners
328,0,Financially Stressed Beginners
329,1,Premium-Ready Professionals
330,1,Premium-Ready Professionals
331,2,Smart Savers
332,1,Premium-Ready Professionals
333,2,Smart Savers
334,1,Premium-Ready Professionals
335,2,Smart Savers
336,1,Premium-Ready Professionals
337,1,Premium-Ready Professionals
338,0,Financially Stressed Beginners
339,0,Financially Stressed Beginners
340,2,Smart Savers
341,0,Financially Stressed Beginners
342,2,Smart Savers
343,0,Financially Stressed Beginners
344,1,Premium-Ready Professionals
345,1,Premium-Ready Professionals
346,2,Smart Savers
347,0,Financially Stressed Beginners
348,0,Financially Stressed Beginners
349,2,Smart Savers
350,0,Financially Stressed Beginners
351,1,Premium-Ready Professionals
352,0,Financially Stressed Beginners
353,0,Financially Stressed Beginners
354,0,Financially Stressed Beginners
355,0,Financially Stressed Beginners
356,0,Financially Stressed Beginners
357,2,Smart Savers
358,0,Financially Stressed Beginners
359,2,Smart Savers
360,0,Financially Stressed Beginners
361,1,Premium-Ready Professionals
362,1,Premium-Ready Professionals
363,0,Financially Stressed Beginners
364,0,Financially Stressed Beginners
365,2,Smart Savers
366,1,Premium-Ready Professionals
367,1,Premium-Ready Professionals
368,0,Financially Stressed Beginners
369,0,Financially Stressed Beginners
370,1,Premium-Ready Professionals
371,0,Financially Stressed Beginners
372,0,Financially Stressed Beginners
373,1,Premium-Ready Professionals
374,0,Financially Stressed Beginners
375,1,Premium-Ready Professionals
376,0,Financially Stressed Beginners
377,0,Financially Stressed Beginners
378,0,Financially Stressed Beginners
379,1,Premium-Ready Professionals
380,0,Financially Stressed Beginners
381,0,Financially Stressed Beginners
382,0,Financially Stressed Beginners
383,0,Financially Stressed Beginners
384,1,Premium-Ready Professionals
385,0,Financially Stressed Beginners
386,0,Financially Stressed Beginners
387,2,Smart Savers
388,1,Premium-Ready Professionals
389,0,Financially Stressed Beginners
390,1,Premium-Ready Professionals
391,2,Smart Savers
392,0,Financially Stressed Beginners
393,0,Financially Stressed Beginners
394,0,Financially Stressed Beginners
395,1,Premium-Ready Professionals
396,2,Smart Savers
397,1,Premium-Ready Professionals
398,1,Premium-Ready Professionals
399,1,Premium-Ready Professionals
400,0,Financially Stressed Beginners
401,0,Financially Stressed Beginners
402,2,Smart Savers
403,0,Financially Stressed Beginners
404,0,Financially Stressed Beginners
405,2,Smart Savers
406,0,Financially Stressed Beginners
407,1,Premium-Ready Professionals
408,0,Financially Stressed Beginners
409,0,Financially Stressed Beginners
410,0,Financially Stressed Beginners
411,2,Smart Savers
412,0,Financially Stressed Beginners
413,0,Financially Stressed Beginners
414,2,Smart Savers
415,0,Financially Stressed Beginners
416,1,Premium-Ready Professionals
417,0,Financially Stressed Beginners
418,2,Smart Savers
419,0,Financially Stressed Beginners
420,0,Financially Stressed Beginners
421,2,Smart Savers
422,1,Premium-Ready Professionals
423,0,Financially Stressed Beginners
424,2,Smart Savers
425,1,Premium-Ready Professionals
426,2,Smart Savers
427,2,Smart Savers
428,1,Premium-Ready Professionals
429,2,Smart Savers
430,0,Financially Stressed Beginners
431,0,Financially Stressed Beginners
432,0,Financially Stressed Beginners
433,2,Smart Savers
434,0,Financially Stressed Beginners
435,1,Premium-Ready Professionals
436,0,Financially Stressed Beginners
437,2,Smart Savers
438,0,Financially Stressed Beginners
439,0,Financially Stressed Beginners
440,1,Premium-Ready Professionals
441,2,Smart Savers
442,2,Smart Savers
443,0,Financially Stressed Beginners
444,0,Financially Stressed Beginners
445,1,Premium-Ready Professionals
446,2,Smart Savers
447,2,Smart Savers
448,0,Financially Stressed Beginners
449,0,Financially Stressed Beginners
450,0,Financially Stressed Beginners
451,1,Premium-Ready Professionals
452,2,Smart Savers
453,1,Premium-Ready Professionals
454,2,Smart Savers
455,2,Smart Savers
456,0,Financially Stressed Beginners
457,0,Financially Stressed Beginners
458,0,Financially Stressed Beginners
459,0,Financially Stressed Beginners
460,0,Financially Stressed Beginners
461,2,Smart Savers
462,2,Smart Savers
463,0,Financially Stressed Beginners
464,0,Financially Stressed Beginners
465,0,Financially Stressed Beginners
466,1,Premium-Ready Professionals
467,0,Financially Stressed Beginners
468,1,Premium-Ready Professionals
469,2,Smart Savers
470,0,Financially Stressed Beginners
471,0,Financially Stressed Beginners
472,2,Smart Savers
473,1,Premium-Ready Professionals
474,2,Smart Savers
475,2,Smart Savers
476,2,Smart Savers
477,0,Financially Stressed Beginners
478,2,Smart Savers
479,1,Premium-Ready Professionals
480,2,Smart Savers
481,0,Financially Stressed Beginners
482,1,Premium-Ready Professionals
483,0,Financially Stressed Beginners
484,1,Premium-Ready Professionals
485,2,Smart Savers
486,0,Financially Stressed Beginners
487,2,Smart Savers
488,2,Smart Savers
489,0,Financially Stressed Beginners
490,1,Premium-Ready Professionals
491,2,Smart Savers
492,0,Financially Stressed Beginners
493,0,Financially Stressed Beginners
494,2,Smart Savers
495,2,Smart Savers
496,0,Financially Stressed Beginners
497,0,Financially Stressed Beginners
498,1,Premium-Ready Professionals
499,2,Smart Savers
500,2,Smart Savers
501,2,Smart Savers
502,1,Premium-Ready Professionals
503,2,Smart Savers
504,0,Financially Stressed Beginners
505,1,Premium-Ready Professionals
506,0,Financially Stressed Beginners
507,2,Smart Savers
508,2,Smart Savers
509,0,Financially Stressed Beginners
510,0,Financially Stressed Beginners
511,2,Smart Savers
512,0,Financially Stressed Beginners
513,0,Financially Stressed Beginners
514,1,Premium-Ready Professionals
515,0,Financially Stressed Beginners
516,2,Smart Savers
517,2,Smart Savers
518,2,Smart Savers
519,0,Financially Stressed Beginners
520,1,Premium-Ready Professionals
521,2,Smart Savers
522,0,Financially Stressed Beginners
523,0,Financially Stressed Beginners
524,2,Smart Savers
525,0,Financially Stressed Beginners
526,0,Financially Stressed Beginners
527,0,Financially Stressed Beginners
528,2,Smart Savers
529,0,Financially Stressed Beginners
530,0,Financially Stressed Beginners
531,2,Smart Savers
532,1,Premium-Ready Professionals
533,1,Premium-Ready Professionals
534,2,Smart Savers
535,1,Premium-Ready Professionals
536,2,Smart Savers
537,0,Financially Stressed Beginners
538,2,Smart Savers
539,2,Smart Savers
540,2,Smart Savers
541,0,Financially Stressed Beginners
542,2,Smart Savers
543,1,Premium-Ready Professionals
544,0,Financially Stressed Beginners
545,1,Premium-Ready Professionals
546,2,Smart Savers
547,1,Premium-Ready Professionals
548,2,Smart Savers
549,0,Financially Stressed Beginners
550,2,Smart Savers
551,1,Premium-Ready Professionals
552,1,Premium-Ready Professionals
553,0,Financially Stressed Beginners
554,1,Premium-Ready Professionals
555,2,Smart Savers
556,2,Smart Savers
557,2,Smart Savers
558,2,Smart Savers
559,1,Premium-Ready Professionals
560,0,Financially Stressed Beginners
561,0,Financially Stressed Beginners
562,2,Smart Savers
563,0,Financially Stressed Beginners
564,2,Smart Savers
565,1,Premium-Ready Professionals
566,2,Smart Savers
567,0,Financially Stressed Beginners
568,2,Smart Savers
569,1,Premium-Ready Professionals
570,0,Financially Stressed Beginners
571,2,Smart Savers
572,0,Financially Stressed Beginners
573,0,Financially Stressed Beginners
574,1,Premium-Ready Professionals
575,1,Premium-Ready Professionals
576,1,Premium-Ready Professionals
577,1,Premium-Ready Professionals
578,2,Smart Savers
579,1,Premium-Ready Professionals
580,0,Financially Stressed Beginners
581,0,Financially Stressed Beginners
582,2,Smart Savers
583,2,Smart Savers
584,0,Financially Stressed Beginners
585,1,Premium-Ready Professionals
586,0,Financially Stressed Beginners
587,0,Financially Stressed Beginners
588,0,Financially Stressed Beginners
589,0,Financially Stressed Beginners
590,0,Financially Stressed Beginners
591,1,Premium-Ready Professionals
592,2,Smart Savers
593,0,Financially Stressed Beginners
594,0,Financially Stressed Beginners
595,1,Premium-Ready Professionals
596,2,Smart Savers
597,0,Financially Stressed Beginners
598,2,Smart Savers
599,0,Financially Stressed Beginners
600,2,Smart Savers
601,2,Smart Savers
602,2,Smart Savers
603,1,Premium-Ready Professionals
604,0,Financially Stressed Beginners
605,2,Smart Savers
606,1,Premium-Ready Professionals
607,1,Premium-Ready Professionals
608,2,Smart Savers
609,2,Smart Savers
610,2,Smart Savers
611,2,Smart Savers
612,0,Financially Stressed Beginners
613,1,Premium-Ready Professionals
614,0,Financially Stressed Beginners
615,0,Financially Stressed Beginners
616,0,Financially Stressed Beginners
617,0,Financially Stressed Beginners
618,1,Premium-Ready Professionals
619,2,Smart Savers
620,2,Smart Savers
621,0,Financially Stressed Beginners
622,2,Smart Savers
623,0,Financially Stressed Beginners
624,0,Financially Stressed Beginners
625,0,Financially Stressed Beginners
626,0,Financially Stressed Beginners
627,1,Premium-Ready Professionals
628,0,Financially Stressed Beginners
629,0,Financially Stressed Beginners
630,0,Financially Stressed Beginners
631,2,Smart Savers
632,2,Smart Savers
633,0,Financially Stressed Beginners
634,0,Financially Stressed Beginners
635,1,Premium-Ready Professionals
636,0,Financially Stressed Beginners
637,2,Smart Savers
638,1,Premium-Ready Professionals
639,1,Premium-Ready Professionals
640,2,Smart Savers
641,0,Financially Stressed Beginners
642,2,Smart Savers
643,1,Premium-Ready Professionals
644,2,Smart Savers
645,0,Financially Stressed Beginners
646,0,Financially Stressed Beginners
647,0,Financially Stressed Beginners
648,0,Financially Stressed Beginners
649,1,Premium-Ready Professionals
650,0,Financially Stressed Beginners
651,0,Financially Stressed Beginners
652,2,Smart Savers
653,1,Premium-Ready Professionals
654,0,Financially Stressed Beginners
655,1,Premium-Ready Professionals
656,1,Premium-Ready Professionals
657,0,Financially Stressed Beginners
658,0,Financially Stressed Beginners
659,1,Premium-Ready Professionals
660,0,Financially Stressed Beginners
661,1,Premium-Ready Professionals
662,0,Financially Stressed Beginners
663,0,Financially Stressed Beginners
664,0,Financially Stressed Beginners
665,2,Smart Savers
666,2,Smart Savers
667,2,Smart Savers
668,1,Premium-Ready Professionals
669,0,Financially Stressed Beginners
670,0,Financially Stressed Beginners
671,1,Premium-Ready Professionals
672,1,Premium-Ready Professionals
673,0,Financially Stressed Beginners
674,1,Premium-Ready Professionals
675,0,Financially Stressed Beginners
676,1,Premium-Ready Professionals
677,2,Smart Savers
678,1,Premium-Ready Professionals
679,0,Financially Stressed Beginners
680,0,Financially Stressed Beginners
681,0,Financially Stressed Beginners
682,2,Smart Savers
683,1,Premium-Ready Professionals
684,0,Financially Stressed Beginners
685,0,Financially Stressed Beginners
686,2,Smart Savers
687,0,Financially Stressed Beginners
688,0,Financially Stressed Beginners
689,2,Smart Savers
690,0,Financially Stressed Beginners
691,1,Premium-Ready Professionals
692,0,Financially Stressed Beginners
693,2,Smart Savers
694,2,Smart Savers
695,0,Financially Stressed Beginners
696,0,Financially Stressed Beginners
697,1,Premium-Ready Professionals
698,0,Financially Stressed Beginners
699,1,Premium-Ready Professionals
700,1,Premium-Ready Professionals
701,2,Smart Savers
702,2,Smart Savers
703,0,Financially Stressed Beginners
704,0,Financially Stressed Beginners
705,1,Premium-Ready Professionals
706,2,Smart Savers
707,2,Smart Savers
708,0,Financially Stressed Beginners
709,0,Financially Stressed Beginners
710,0,Financially Stressed Beginners
711,2,Smart Savers
712,1,Premium-Ready Professionals
713,1,Premium-Ready Professionals
714,0,Financially Stressed Beginners
715,2,Smart Savers
716,0,Financially Stressed Beginners
717,2,Smart Savers
718,0,Financially Stressed Beginners
719,0,Financially Stressed Beginners
720,0,Financially Stressed Beginners
721,2,Smart Savers
722,1,Premium-Ready Professionals
723,1,Premium-Ready Professionals
724,2,Smart Savers
725,0,Financially Stressed Beginners
726,0,Financially Stressed Beginners
727,0,Financially Stressed Beginners
728,0,Financially Stressed Beginners
729,1,Premium-Ready Professionals
730,2,Smart Savers
731,2,Smart Savers
732,1,Premium-Ready Professionals
733,0,Financially Stressed Beginners
734,2,Smart Savers
735,0,Financially Stressed Beginners
736,2,Smart Savers
737,0,Financially Stressed Beginners
738,0,Financially Stressed Beginners
739,2,Smart Savers
740,1,Premium-Ready Professionals
741,2,Smart Savers
742,1,Premium-Ready Professionals
743,0,Financially Stressed Beginners
744,0,Financially Stressed Beginners
745,0,Financially Stressed Beginners
746,0,Financially Stressed Beginners
747,0,Financially Stressed Beginners
748,2,Smart Savers
749,1,Premium-Ready Professionals
750,0,Financially Stressed Beginners
751,1,Premium-Ready Professionals
752,0,Financially Stressed Beginners
753,2,Smart Savers
754,0,Financially Stressed Beginners
755,0,Financially Stressed Beginners
756,2,Smart Savers
757,0,Financially Stressed Beginners
758,2,Smart Savers
759,0,Financially Stressed Beginners
760,1,Premium-Ready Professionals
761,0,Financially Stressed Beginners
762,1,Premium-Ready Professionals
763,0,Financially Stressed Beginners
764,2,Smart Savers
765,0,Financially Stressed Beginners
766,1,Premium-Ready Professionals
767,2,Smart Savers
768,0,Financially Stressed Beginners
769,0,Financially Stressed Beginners
770,0,Financially Stressed Beginners
771,0,Financially Stressed Beginners
772,0,Financially Stressed Beginners
773,0,Financially Stressed Beginners
774,1,Premium-Ready Professionals
775,1,Premium-Ready Professionals
776,0,Financially Stressed Beginners
777,0,Financially Stressed Beginners
778,0,Financially Stressed Beginners
779,1,Premium-Ready Professionals
780,0,Financially Stressed Beginners
781,0,Financially Stressed Beginners
782,0,Financially Stressed Beginners
783,0,Financially Stressed Beginners
784,0,Financially Stressed Beginners
785,1,Premium-Ready Professionals
786,0,Financially Stressed Beginners
787,0,Financially Stressed Beginners
788,0,Financially Stressed Beginners
789,2,Smart Savers
790,2,Smart Savers
791,2,Smart Savers
792,2,Smart Savers
793,0,Financially Stressed Beginners
794,2,Smart Savers
795,0,Financially Stressed Beginners
796,2,Smart Savers
797,2,Smart Savers
798,2,Smart Savers
799,2,Smart Savers
800,2,Smart Savers
801,0,Financially Stressed Beginners
802,0,Financially Stressed Beginners
803,2,Smart Savers
804,1,Premium-Ready Professionals
805,0,Financially Stressed Beginners
806,2,Smart Savers
807,0,Financially Stressed Beginners
808,2,Smart Savers
809,1,Premium-Ready Professionals
810,1,Premium-Ready Professionals
811,1,Premium-Ready Professionals
812,2,Smart Savers
813,2,Smart Savers
814,2,Smart Savers
815,1,Premium-Ready Professionals
816,2,Smart Savers
817,1,Premium-Ready Professionals
818,0,Financially Stressed Beginners
819,0,Financially Stressed Beginners
820,0,Financially Stressed Beginners
821,0,Financially Stressed Beginners
822,2,Smart Savers
823,1,Premium-Ready Professionals
824,0,Financially Stressed Beginners
825,1,Premium-Ready Professionals
826,0,Financially Stressed Beginners
827,2,Smart Savers
828,0,Financially Stressed Beginners
829,2,Smart Savers
830,0,Financially Stressed Beginners
831,1,Premium-Ready Professionals
832,0,Financially Stressed Beginners
833,0,Financially Stressed Beginners
834,2,Smart Savers
835,0,Financially Stressed Beginners
836,1,Premium-Ready Professionals
837,0,Financially Stressed Beginners
838,2,Smart Savers
839,1,Premium-Ready Professionals
840,1,Premium-Ready Professionals
841,2,Smart Savers
842,0,Financially Stressed Beginners
843,0,Financially Stressed Beginners
844,0,Financially Stressed Beginners
845,2,Smart Savers
846,1,Premium-Ready Professionals
847,0,Financially Stressed Beginners
848,0,Financially Stressed Beginners
849,0,Financially Stressed Beginners
850,0,Financially Stressed Beginners
851,0,Financially Stressed Beginners
852,0,Financially Stressed Beginners
853,0,Financially Stressed Beginners
854,0,Financially Stressed Beginners
855,2,Smart Savers
856,0,Financially Stressed Beginners
857,0,Financially Stressed Beginners
858,2,Smart Savers
859,2,Smart Savers
860,2,Smart Savers
861,0,Financially Stressed Beginners
862,0,Financially Stressed Beginners
863,0,Financially Stressed Beginners
864,0,Financially Stressed Beginners
865,1,Premium-Ready Professionals
866,0,Financially Stressed Beginners
867,2,Smart Savers
868,2,Smart Savers
869,0,Financially Stressed Beginners
870,0,Financially Stressed Beginners
871,2,Smart Savers
872,1,Premium-Ready Professionals
873,2,Smart Savers
874,0,Financially Stressed Beginners
875,2,Smart Savers
876,1,Premium-Ready Professionals
877,2,Smart Savers
878,2,Smart Savers
879,0,Financially Stressed Beginners
880,0,Financially Stressed Beginners
881,0,Financially Stressed Beginners
882,1,Premium-Ready Professionals
883,0,Financially Stressed Beginners
884,2,Smart Savers
885,2,Smart Savers
886,0,Financially Stressed Beginners
887,1,Premium-Ready Professionals
888,0,Financially Stressed Beginners
889,0,Financially Stressed Beginners
890,2,Smart Savers
891,0,Financially Stressed Beginners
892,0,Financially Stressed Beginners
893,2,Smart Savers
894,2,Smart Savers
895,1,Premium-Ready Professionals
896,0,Financially Stressed Beginners
897,2,Smart Savers
898,1,Premium-Ready Professionals
899,2,Smart Savers
900,1,Premium-Ready Professionals
901,0,Financially Stressed Beginners
902,2,Smart Savers
903,0,Financially Stressed Beginners
904,1,Premium-Ready Professionals
905,1,Premium-Ready Professionals
906,2,Smart Savers
907,0,Financially Stressed Beginners
908,0,Financially Stressed Beginners
909,0,Financially Stressed Beginners
910,2,Smart Savers
911,0,Financially Stressed Beginners
912,2,Smart Savers
913,2,Smart Savers
914,2,Smart Savers
915,1,Premium-Ready Professionals
916,0,Financially Stressed Beginners
917,2,Smart Savers
918,2,Smart Savers
919,1,Premium-Ready Professionals
920,0,Financially Stressed Beginners
921,2,Smart Savers
922,2,Smart Savers
923,0,Financially Stressed Beginners
924,1,Premium-Ready Professionals
925,1,Premium-Ready Professionals
926,0,Financially Stressed Beginners
927,0,Financially Stressed Beginners
928,2,Smart Savers
929,2,Smart Savers
930,1,Premium-Ready Professionals
931,0,Financially Stressed Beginners
932,1,Premium-Ready Professionals
933,0,Financially Stressed Beginners
934,0,Financially Stressed Beginners
935,1,Premium-Ready Professionals
936,0,Financially Stressed Beginners
937,2,Smart Savers
938,0,Financially Stressed Beginners
939,1,Premium-Ready Professionals
940,2,Smart Savers
941,1,Premium-Ready Professionals
942,2,Smart Savers
943,0,Financially Stressed Beginners
944,2,Smart Savers
945,2,Smart Savers
946,0,Financially Stressed Beginners
947,1,Premium-Ready Professionals
948,2,Smart Savers
949,0,Financially Stressed Beginners
950,2,Smart Savers
951,0,Financially Stressed Beginners
952,2,Smart Savers
953,2,Smart Savers
954,2,Smart Savers
955,2,Smart Savers
956,2,Smart Savers
957,0,Financially Stressed Beginners
958,2,Smart Savers
959,0,Financially Stressed Beginners
960,2,Smart Savers
961,1,Premium-Ready Professionals
962,1,Premium-Ready Professionals
963,2,Smart Savers
964,1,Premium-Ready Professionals
965,2,Smart Savers
966,1,Premium-Ready Professionals
